CURRENT_PRICE
7698.1
455.55
826.85
127.45
276.5
1746.45
108.6
695.95
536.8
795.45
517.9
1529.35
753.1
321.3
251.3
38.25
140.7
226.35
82.5
21.15
3167.0
2539.0
734.0
996.9
807.65
2343.05
1996.0
485.0
12956.35
546.0
2477.3
7321.05
16598.35
1373.05
699.4
1174.8
2498.15
392.0
895.05
64.6
3723.0
1819.1
1175.0
8804.1
4796.3
3728.5
137.8
637.0
784.15
485.0
1364.5
737.8
171.1
559.55
109.3
992.0
424.1
323.1
143.7
83.3
553.9
258.95
2164.0
14440.05
1586.0
454.4
5211.25
789.2
79.55
779.65
767.25
219.9
1273.35
11.0
198.5
1243.0
84.65
104.45
18.7
28.1
1035.0
4311.0
928.9
353.4
779.9
371.05
316.3
286.3
81.2
282.7
2457.0
1270.05
232.1
2000.7
57.9
223.6
1810.25
1407.1
1762.7
69.3
43918.6
893.95
856.4
675.6
448.6
57.0
2464.9
585.8
458.0
130.0
292.3
234.65
155.9
30.75
542.95
256.95
29.2
86.75
70.8
98.15
2585.35
171.85
124.7
290.5
238.2
52.1
208.5
164.25
58.55
120.35
403.65
997.0
1690.45
510.65
494.8
1077.2
41.2
718.1
487.75
90.1
