TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
BEML,BEML Limited,Capital Goods,S,0.87,0.34,46.58,20.220000000000002,52.86,-13.482181193645346,1.1494252873563218,"[2498.81, 3245.55, 3481.06, 3028.82, 3557.21]","[84.45, 129.45, 63.49, 68.38, 74.8]","[214.66000000000003, 276.13, 259.93, 135.85999999999999, 202.61]","[8.590489072798654, 8.507957048882316, 7.466978449093093, 4.485575240522711, 5.695755943562511]"
HEG,HEG Limited,Capital Goods,S,1.45,0.21,46.58,211.07599999999996,-38.346000000000004,182.322885358523,0.6896551724137931,"[858.84, 2747.83, 6591.17, 2144.76, 1254.27]","[-50.05, 1081.34, 3050.43, 53.37, -25.3]","[87.86, 1733.69, 4767.4400000000005, 137.92, 53.73]","[10.230077779330259, 63.09305888646678, 72.33070911537709, 6.4305563326432775, 4.283766653112966]"
MTARTECH,Mtar Technologies Limited,Capital Goods,S,1.23,0.17,46.58,7.426,13.684000000000001,70.6225848003435,0.8130081300813008,"[100.68, 156.62, 183.67, 213.77, 246.43]","[-15.06, 5.42, 39.2, 31.32, 46.08]","[-11.299999999999999, 32.82, 57.24, 62.34, 84.41]","[-11.22367898291617, 20.955178138168815, 31.164588664452552, 29.162183655330495, 34.25313476443615]"
ENGINERSIN,Engineers India Limited,Capital Goods,S,0.6,2.95,46.58,5.618,20.374000000000002,56.26019750966079,1.6666666666666667,"[1448.64, 1787.58, 2444.34, 3203.05, 3104.69]","[325.04, 377.87, 370.07, 430.24, 259.5]","[527.84, 593.8700000000001, 592.62, 703.0500000000001, 379.73]","[36.43693395184449, 33.22200964432362, 24.244581359385354, 21.94939198576357, 12.230850745162963]"
PAGEIND,Page Industries limited,Textile,L,0.88,0.56,36.63,301.964,72.15599999999999,-96.98607698607695,1.1363636363636365,"[2128.53, 2551.37, 2852.2, 2945.54, 2832.96]","[266.28, 346.98, 393.94, 343.22, 340.58]","[439.03, 563.2, 654.31, 557.76, 546.66]","[20.625971914889618, 22.07441492217907, 22.940537129233572, 18.935746925860794, 19.296424940698067]"
CENTURYTEX,Century Textiles & Industries Limited,Textile,L,1.35,0.12,36.63,125.946,47.903999999999996,-30.77805077805076,0.7407407407407407,"[7644.75, 3897.79, 3943.56, 3424.26, 2610.55]","[104.99, 371.66, 6075.56, 450.37, 31.5]","[985.79, 943.3399999999999, 6637.02, 677.57, 347.63]","[12.894993296052847, 24.20191954928305, 168.30021604844353, 19.787340914533356, 13.31635096052556]"
RAYMOND,Raymond Limited,Textile,L,1.24,0.0,36.63,6.058,46.734,-27.583947583947584,0.8064516129032259,"[2822.18, 3011.56, 3276.39, 3186.39, 1752.41]","[33.83, 98.07, 73.82, 94.32, -118.49]","[281.83000000000004, 384.63, 377.58, 419.71, 138.71999999999997]","[9.98625176282165, 12.77178605108316, 11.524269088844735, 13.171959490206786, 7.915955740951031]"
KPRMILL,K.P.R. Mill Limited,Textile,M,1.0,0.14,36.63,8.328,16.112000000000002,56.01419601419602,1.0,"[2219.14, 2511.52, 2978.53, 2898.07, 2953.64]","[238.42, 224.97, 289.11, 294.61, 432.62]","[472.77, 445.02, 544.4399999999999, 510.99, 702.3499999999999]","[21.30419892390746, 17.71915015608078, 18.27881538879917, 17.632079280348645, 23.779133543695234]"
VTL,Vardhman Textiles Limited,Textile,M,1.01,0.76,36.63,21.845999999999997,11.458,68.71962871962872,0.9900990099009901,"[5690.95, 5851.37, 6414.58, 6325.15, 5787.64]","[1001.59, 545.76, 695.88, 545.49, 350.41]","[1759.4299999999998, 1043.62, 1349.7199999999998, 1054.76, 928.72]","[30.916279355819324, 17.835481263362254, 21.04143996956932, 16.675651960823064, 16.04660967164509]"
TRIDENT,Trident Limited,Textile,M,0.92,0.67,36.63,0.652,12.27,66.50286650286651,1.0869565217391304,"[4617.38, 4565.96, 5219.52, 4699.46, 4519.29]","[336.98, 265.86, 370.92, 341.8, 345.74]","[991.9200000000001, 914.03, 1023.0900000000001, 865.31, 853.6099999999999]","[21.48231248023771, 20.01835320502151, 19.601227699098768, 18.41296659616211, 18.88814393411354]"
LUXIND,Lux Industries Limited,Textile,S,0.95,0.49,36.63,54.778,29.85,18.50941850941851,1.0526315789473684,"[957.97, 1077.51, 1208.68, 1664.36, 1938.42]","[59.65, 77.88, 101.31, 180.74, 273.37]","[121.22, 156.07, 189.48, 277.8, 394.1]","[12.653840934476028, 14.484320331133818, 15.676605884104973, 16.691100483068567, 20.330991219653118]"
DOLLAR,Dollar Industries Limited,Textile,S,1.15,0.41,36.63,11.692,16.294,55.51733551733552,0.8695652173913044,"[886.13, 925.55, 1028.76, 967.1, 1036.96]","[43.49, 64.02, 75.25, 59.45, 87.28]","[102.23, 126.37, 138.60999999999999, 110.36000000000001, 141.88]","[11.536681976685136, 13.653503322348874, 13.473502080174189, 11.411436252714303, 13.682302113871316]"
RUPA,Rupa & Company Limited,Textile,S,0.9,1.12,36.63,13.232,23.834000000000003,34.93311493311493,1.1111111111111112,"[1084.3, 1089.76, 1108.24, 941.4, 1261.22]","[77.15, 94.61, 93.37, 80.07, 180.9]","[144.51000000000002, 169.45, 175.29999999999998, 132.53, 263.78000000000003]","[13.327492391404595, 15.549295257671414, 15.817873384826392, 14.077968982366688, 20.91466992277319]"
ARVIND,Arvind Limited,Textile,S,1.74,0.0,36.63,5.660000000000001,46.478,-26.885066885066884,0.5747126436781609,"[5966.63, 6332.13, 6435.96, 6705.31, 4528.54]","[18.56, 250.04, 199.44, 171.38, 92.67]","[555.31, 690.26, 666.0600000000001, 729.43, 514.78]","[9.30692870179649, 10.900913278786128, 10.349038838028825, 10.878393392699218, 11.367460594363747]"
TATAPOWER,Tata Power Company Ltd,Power,L,1.46,0.57,27.61,-0.041999999999999996,32.354,-17.182180369431364,0.684931506849315,"[6924.16, 7536.59, 8255.25, 7726.39, 6180.59]","[397.54, -3150.52, 1768.7, 148.12, 921.45]","[2442.0299999999997, -1221.75, 4354.209999999999, 2136.4300000000003, 3210.08]","[35.268249145022644, -16.21091236222217, 52.74473819690498, 27.651076375901297, 51.938083581017345]"
POWERGRID,Power Grid Corporation of India Limited,Power,L,0.54,5.15,27.61,13.892000000000001,10.712,61.20246287576965,1.8518518518518516,"[25710.07, 29764.59, 34119.12, 36185.54, 37665.65]","[7520.15, 8244.65, 9938.55, 10811.18, 11935.78]","[23536.39, 30235.719999999998, 28254.199999999997, 35217.55, 35237.61]","[91.54541391758171, 101.58285398858172, 82.81045935534091, 97.32492592344899, 93.55370211319863]"
NTPC,NTPC Limited,Power,L,0.8,4.13,27.61,11.248,11.038,60.021731256791014,1.25,"[78273.44, 83452.7, 90307.43, 97700.39, 99206.72]","[9385.26, 10343.17, 11749.89, 10112.81, 13769.52]","[21671.9, 26695.420000000002, 20802.28, 34716.65, 33565.81]","[27.687425006490066, 31.988683409883684, 23.03495958195245, 35.53378855498939, 33.834210021256624]"
NHPC,NHPC Limited,Power,M,0.52,5.41,27.61,2.85,9.154,66.84534588917059,1.923076923076923,"[7271.17, 6938.22, 8161.18, 8735.15, 8506.58]","[2795.59, 2769.03, 2630.55, 3007.17, 3233.37]","[5995.3, 5217.5, 6229.93, 6029.59, 5801.39]","[82.45303025510337, 75.19940272865374, 76.3361425676189, 69.02674825274896, 68.19885312311176]"
TORNTPOWER,Torrent Power Limited,Power,M,0.9,2.06,27.61,20.002,15.536000000000001,43.73053241579137,1.1111111111111112,"[9920.62, 11448.86, 12977.52, 13442.04, 11776.52]","[432.36, 921.74, 889.24, 1238.14, 1324.91]","[2619.92, 3326.36, 3303.56, 2667.92, 3482.05]","[26.40883331888531, 29.05407175910964, 25.45601933189084, 19.84758265858456, 29.567733082438615]"
ADANIPOWER,Adani Power Limited,Power,M,1.63,0.0,27.61,-4.2219999999999995,-108.67600000000002,493.6110105034408,0.6134969325153374,"[10868.11, 8120.87, 2404.2, 1005.32, 447.17]","[-6054.34, -23.77, -225.23, -1340.56, -498.74]","[-1915.2899999999995, 2844.97, 1051.87, -130.55999999999995, 173.46999999999997]","[-17.62302737090441, 35.032822837947165, 43.75135180101489, -12.98690964071141, 38.792852830019896]"
